iter	Passed	Remaining
0	138	137886
1	139	69792
2	141	47044
3	143	35637
4	144	28821
5	153	25350
6	154	21942
7	156	19383
8	157	17393
9	159	15784
10	163	14655
11	164	13577
12	166	12632
13	167	11819
14	169	11117
15	170	10501
16	172	9955
17	173	9471
18	174	9035
19	178	8758
20	180	8409
21	182	8100
22	184	7820
23	185	7551
24	187	7302
25	188	7074
26	195	7041
27	197	6843
28	198	6662
29	200	6487
30	202	6319
31	206	6252
32	210	6177
33	212	6049
34	214	5915
35	216	5787
36	218	5673
37	223	5665
38	225	5564
39	227	5463
40	229	5363
41	230	5267
42	233	5191
43	239	5195
44	240	5113
45	242	5034
46	244	4953
47	245	4876
48	248	4814
49	253	4818
50	255	4756
51	257	4693
52	259	4630
53	260	4566
54	262	4506
55	268	4533
56	270	4481
57	272	4429
58	274	4378
59	276	4325
60	277	4273
61	284	4302
62	286	4261
63	288	4215
64	289	4169
65	291	4125
66	296	4130
67	299	4105
68	301	4067
69	303	4029
70	304	3989
71	306	3949
72	308	3912
73	314	3929
74	315	3892
75	317	3854
76	318	3818
77	319	3782
78	321	3747
79	322	3712
80	325	3696
81	327	3668
82	328	3631
83	330	3605
84	332	3578
85	334	3551
86	335	3522
87	338	3503
88	345	3532
89	347	3512
90	349	3488
91	350	3464
92	352	3439
93	360	3473
94	362	3454
95	364	3434
96	366	3411
97	368	3389
98	372	3391
99	376	3391
100	378	3371
101	380	3350
102	382	3329
103	384	3311
104	388	3307
105	389	3288
106	391	3268
107	393	3248
108	395	3228
109	400	3243
110	403	3232
111	405	3215
112	407	3195
113	408	3176
114	411	3163
115	416	3177
116	418	3158
117	420	3143
118	422	3129
119	424	3112
120	426	3095
121	431	3104
122	434	3096
123	436	3081
124	437	3065
125	439	3050
126	441	3033
127	449	3059
128	451	3047
129	453	3033
130	455	3018
131	457	3005
132	460	3000
133	462	2986
134	464	2973
135	465	2958
136	467	2946
137	472	2950
138	474	2939
139	476	2928
140	478	2914
141	479	2897
142	481	2887
143	483	2874
144	488	2883
145	491	2873
146	493	2861
147	494	2848
148	496	2834
149	501	2843
150	505	2842
151	507	2833
152	509	2822
153	511	2810
154	513	2797
155	516	2796
156	522	2806
157	524	2797
158	526	2786
159	528	2775
160	531	2772
161	533	2760
162	543	2791
163	549	2801
164	551	2792
165	553	2781
166	558	2785
167	563	2790
168	569	2799
169	571	2789
170	573	2781
171	581	2800
172	583	2789
173	585	2777
174	586	2766
175	588	2755
176	590	2743
177	593	2740
178	597	2739
179	598	2727
180	600	2717
181	602	2706
182	603	2696
183	607	2694
184	609	2686
185	611	2676
186	613	2665
187	614	2655
188	618	2654
189	624	2662
190	628	2661
191	629	2650
192	631	2641
193	633	2630
194	636	2626
195	642	2635
196	644	2626
197	645	2615
198	647	2606
199	649	2596
200	650	2587
201	653	2582
202	657	2580
203	659	2571
204	660	2563
205	662	2553
206	664	2544
207	665	2535
208	672	2546
209	675	2539
210	677	2532
211	678	2523
212	680	2514
213	682	2505
214	685	2501
215	690	2507
216	692	2500
217	694	2491
218	696	2482
219	699	2480
220	703	2478
221	706	2477
222	708	2469
223	710	2461
224	712	2454
225	715	2451
226	718	2447
227	722	2447
228	724	2440
229	726	2432
230	730	2431
231	735	2434
232	737	2427
233	739	2420
234	741	2412
235	744	2409
236	747	2406
237	751	2406
238	753	2398
239	755	2392
240	765	2411
241	767	2405
242	769	2398
243	771	2391
244	774	2386
245	778	2384
246	781	2382
247	783	2375
248	785	2368
249	787	2362
250	791	2362
251	794	2357
252	795	2350
253	797	2343
254	801	2341
255	804	2338
256	809	2339
257	810	2332
258	812	2324
259	816	2323
260	818	2316
261	822	2317
262	824	2310
263	826	2303
264	830	2302
265	831	2295
266	835	2292
267	839	2291
268	840	2284
269	842	2276
270	843	2268
271	844	2261
272	846	2253
273	847	2246
274	851	2243
275	853	2239
276	855	2231
277	856	2224
278	857	2217
279	859	2210
280	860	2203
281	862	2196
282	865	2192
283	868	2188
284	869	2182
285	871	2175
286	872	2168
287	874	2161
288	876	2155
289	877	2148
290	880	2146
291	883	2141
292	884	2135
293	886	2129
294	888	2122
295	890	2117
296	892	2111
297	895	2109
298	898	2106
299	901	2103
300	905	2102
301	921	2129
302	935	2152
303	939	2150
304	950	2166
305	952	2161
306	955	2156
307	962	2161
308	964	2155
309	967	2152
310	969	2147
311	971	2141
312	976	2143
313	978	2138
314	981	2134
315	983	2129
316	986	2124
317	995	2134
318	997	2129
319	999	2124
320	1001	2118
321	1007	2122
322	1011	2119
323	1013	2113
324	1015	2108
325	1016	2102
326	1023	2105
327	1026	2102
328	1028	2097
329	1030	2092
330	1032	2087
331	1041	2094
332	1043	2090
333	1045	2085
334	1047	2079
335	1053	2081
336	1057	2080
337	1059	2074
338	1060	2068
339	1062	2063
340	1074	2077
341	1077	2072
342	1079	2067
343	1084	2068
344	1087	2063
345	1089	2059
346	1091	2054
347	1097	2055
348	1103	2057
349	1104	2052
350	1108	2049
351	1112	2047
352	1114	2042
353	1115	2035
354	1117	2030
355	1118	2024
356	1120	2018
357	1125	2017
358	1126	2012
359	1128	2006
360	1130	2001
361	1132	1996
362	1137	1995
363	1143	1997
364	1146	1994
365	1148	1988
366	1149	1983
367	1154	1982
368	1156	1978
369	1158	1972
370	1160	1967
371	1162	1961
372	1163	1956
373	1173	1964
374	1176	1960
375	1178	1956
376	1180	1951
377	1185	1950
378	1187	1945
379	1188	1939
380	1190	1933
381	1191	1927
382	1193	1922
383	1194	1916
384	1196	1911
385	1200	1909
386	1202	1904
387	1203	1898
388	1205	1892
389	1206	1887
390	1208	1881
391	1209	1876
392	1211	1870
393	1214	1868
394	1216	1862
395	1217	1857
396	1219	1851
397	1220	1846
398	1222	1841
399	1223	1835
400	1225	1830
401	1228	1827
402	1230	1822
403	1231	1817
404	1233	1811
405	1234	1806
406	1236	1800
407	1237	1795
408	1238	1790
409	1240	1784
410	1243	1782
411	1245	1777
412	1246	1772
413	1248	1767
414	1249	1761
415	1251	1756
416	1252	1751
417	1254	1746
418	1255	1740
419	1259	1739
420	1260	1733
421	1262	1728
422	1263	1723
423	1265	1718
424	1266	1713
425	1268	1709
426	1269	1703
427	1271	1699
428	1274	1695
429	1275	1691
430	1277	1686
431	1279	1681
432	1281	1677
433	1282	1673
434	1284	1668
435	1285	1663
436	1289	1660
437	1290	1656
438	1292	1651
439	1293	1646
440	1295	1642
441	1296	1637
442	1298	1632
443	1299	1627
444	1301	1622
445	1304	1620
446	1305	1615
447	1307	1610
